Question,answer,A,B,C,D,E
肛漏常用的检查方法是,B,肛内指诊检查,探针检查,肛门镜检查,乙状结肠镜检查,肛门局部望诊检查
直肠高位息肉常用的检查方法是,D,肛内指诊检查,探针检查,肛门镜检查,乙状结肠镜检查,肛门局部望诊检查
血栓性外痔的主要症状是,B,肛门坠胀,肛周剧痛,直肠粘膜脱出,肛门异物感,便意频数
结缔组织性外痔的主要症状是,D,肛门坠胀,肛周剧痛,直肠粘膜脱出,肛门异物感,便意频数
一般不出现便血症状的疾病是,C,直肠息肉,肛裂,外痔,肛隐窝炎,锁肛痔
常表现为无痛性便血的疾病是,A,直肠息肉,肛裂,外痔,肛隐窝炎,锁肛痔
常表现为反复流脓、疼痛、瘙痒等症状的疾病是,E,直肠息肉,肛裂,外痔,肛隐窝炎,锁肛痔
高位单纯性肛漏的治疗多选用,B,血栓剥离术,挂线疗法,静脉丛剥离术,外剥内扎术,注射术
静脉曲张性外痔的治疗多选用,C,血栓剥离术,挂线疗法,静脉丛剥离术,外剥内扎术,注射术
内痔的治疗多选用,E,血栓剥离术,挂线疗法,静脉丛剥离术,外剥内扎术,注射术
一成年男性，常有便血，有肿物脱出肛外，便秘，肛门坠胀，异物感，有时出现肿痛，应考虑为,E,早期肛裂,直肠息肉,肛隐窝炎,Ⅱ期内痔,混合痔
一4岁儿童，大便每日一行，色黄质软，便时下血，应首先考虑为,B,早期肛裂,直肠息肉,肛隐窝炎,Ⅱ期内痔,混合痔
一青年妇女，近月余便时疼痛剧烈，大便秘结，点滴下血，应考虑为,A,早期肛裂,直肠息肉,肛隐窝炎,Ⅱ期内痔,混合痔
贯穿结扎法多用于治疗,A,纤维型内痔,结缔组织外痔,骨盆直肠间隙脓肿,早期肛裂,混合痔
扩肛法多用于治疗,D,纤维型内痔,结缔组织外痔,骨盆直肠间隙脓肿,早期肛裂,混合痔
一次切开挂线法多用于治疗,C,纤维型内痔,结缔组织外痔,骨盆直肠间隙脓肿,早期肛裂,混合痔
肛漏的局部症状为,B,疼痛、出血、便秘,流脓、疼痛、瘙痒,肛门坠胀、有异物感,肛周红、肿、热、痛,便下脓血、粘液，便意频数
肛裂的局部症状多为,A,疼痛、出血、便秘,流脓、疼痛、瘙痒,肛门坠胀、有异物感,肛周红、肿、热、痛,便下脓血、粘液，便意频数
肛门旁皮下脓肿的症状多表现为,D,疼痛、出血、便秘,流脓、疼痛、瘙痒,肛门坠胀、有异物感,肛周红、肿、热、痛,便下脓血、粘液，便意频数
内痔多发于齿线上,C,膀胱截石位的3、9点处,膀胱截石位的6、12点处,膀胱截石位的3、7、11点处,膀胱截石位的9、12点处,以上都不是
肛裂多发于肛管部,B,膀胱截石位的3、9点处,膀胱截石位的6、12点处,膀胱截石位的3、7、11点处,膀胱截石位的9、12点处,以上都不是
结缔组织性外痔多发于肛缘,B,膀胱截石位的3、9点处,膀胱截石位的6、12点处,膀胱截石位的3、7、11点处,膀胱截石位的9、12点处,以上都不是
患者无痛性便血，点滴而下，便时有肿物脱出肛门外，便后自行回纳。应考虑,A,Ⅱ期内痔,肛乳头肥大,混合痔,直肠脱垂,以上都不是
患者肛周有一结节状肉芽突起，经常流脓性分泌物，局部瘙痒。应考虑为,E,Ⅱ期内痔,肛乳头肥大,混合痔,直肠脱垂,以上都不是
患者肛门部疼痛不适，时有坠胀感，无便血，便时有一灰白色鼓锤状肿物脱出肛门外。应考虑为,B,Ⅱ期内痔,肛乳头肥大,混合痔,直肠脱垂,以上都不是
内痔与外痔的分界线是,B,括约肌间线,齿线,肛缘线,外括约肌皮下部,以上都不是
低位漏与高位漏是以漏管经过( )上下来区分的,E,括约肌间线,齿线,肛缘线,外括约肌皮下部,以上都不是
内痔患者，便血量多，色鲜红，便时痔核可脱出，便后自行回纳，肛门灼热，重坠不适，苔黄腻，脉弦数。治疗宜首选,D,凉血地黄汤,补中益气汤,仙方活命饮,脏连丸,以上都不是
患者肛门周围突然肿痛，持续加剧，伴有恶寒、发热、便秘；肛周红肿，触痛明显，质硬，舌红，苔黄，脉数。治疗宜首选,C,凉血地黄汤,补中益气汤,仙方活命饮,脏连丸,以上都不是
“玉茎属肝，马口属小肠，阴囊属肝，肾子属肾，子之系属肝”这段记载见于,C,《刘涓子鬼遗方》,《外科全生集》,《外科真诠》,《疮疡经验全书》,《外科正宗》
尿血与血淋的区别是有无,C,尿频,尿急,尿痛,排尿不畅,脓尿
在泌尿、男性前阴病中，肝经湿热的临证常用处方是,B,草薛分清饮,龙胆泻肝汤,八正散,萆薛渗湿汤,导赤散
泌尿、男性前阴病表现为肾子硬结，少腹或会阴胀痛，排尿困难或闭塞不通，属于,B,湿热下注,气血瘀滞,浊痰凝结,寒湿凝聚,肾虚
肾有两窍是指,C,两耳,前后二阴,精窍和溺窍,前阴与耳,后阴与耳
下列前阴各部在脏腑上的归属哪一项不正确,E,玉茎属肝,马口属小肠,阴囊属肝,肾子属肾,精索属心
睾丸及附睾的急性化脓性感染称为,C,子痰,囊痈,子痈,脱囊,卵子瘟
血精的病机是,E,脾不统血,瘀血阻络,心火亢盛，迫血妄行,肾阳不足，固摄无力,肾阴不足，火扰精室
慢性前列腺炎的病因病机是,A,肾虚、湿热、瘀滞,湿热、瘀滞、血热,肾虚、瘀滞、痰浊,肾虚、血热、瘀滞,肾虚、血热、湿热
慢性前列腺炎以少腹、会阴、睾丸、腰骶隐痛为主，舌黯或有瘀点瘀斑，脉多沉涩，辨证为,D,湿热壅阻证,阴虚火动证,肾阳不足证,气滞血瘀证,心肾不交证
前列腺增生症患者直肠指诊前列腺的特征下列哪一项不符,E,表面光滑而无结节,边缘清楚,中等硬度而富有弹性,中央沟变浅或消失,压痛明显
脾经湿热引起的泌尿男性疾病治疗时宜选用,D,三仁汤,龙胆泻肝汤,八正散,草薛分清饮,补中益气汤
慢性前列腺炎指诊前列腺的特点是,E,前列腺增大，中央沟消失，无压痛,前列腺肿胀饱满，并有明显压痛,前列腺增大，质不均，无弹性及压痛,前列腺缩小，质坚韧，光滑，无压痛,前列腺大小正常，或稍大或稍小，硬度增加，或有结节，可有压痛
前列腺增生症常见的临床症状不包括,E,夜尿次数增多、排尿困难,慢性尿潴留,假性尿失禁,血尿,尿频、尿急、尿痛
关于阴茎痰核的临床表现，以下哪一项是错误的,A,痰核生于阴茎腹侧,阴茎皮下有条索状或斑块样结节,一般不会溃破,勃起时阴茎弯曲疼痛,影响性生活
下列关于外治阴茎痰核的措施哪一项是错误的,D,局部注射氢化可的松,理疗,阳和解凝膏外敷,黑虎丹外敷,黑退消敷贴
良性前列腺增生症的病因病机不包括,A,阴虚血热,脾肾不足,肺肝气郁,湿热蕴结,气滞血瘀
预防上尿路结石的发生应,A,合理进蛋白质饮食,多食动物内脏,多食菠菜,多食豆腐,多食肥甘之品
精液常规分析中正常精子密度应为,B,≥40×10⁶/ml,≥20×10⁶/ml,<20×10⁶/ml,≥100×10⁶/ml,<1×10⁶/ml
精索静脉曲张所致不育最有效的治疗方法是,C,中药治疗,肌注绒毛膜促性腺激素,手术治疗,口服维生素,人工授精
关于肾绞痛的特点，下列哪项是错误的,E,剧烈绞痛，坐立不安,常为阵发性发作,疼痛可放射到下腹部,疼痛严重时可发生虚脱,无恶心、呕吐
关于尿石症的发病，下列说法错误的是,C,男性多于女性,南方多于北方,在我国以下尿路结石为多见,膀胱结石中，原发性结石少于继发性结石,尿石症的病因不明
关于上尿路结石的临床表现，下列哪项是错误的,E,疼痛,肉眼血尿,有时为镜下血尿,疼痛常向下腹部放射,结石越大，症状越明显
在男性不育患者中，哪种疾病治疗预后较差,C,精索静脉曲张,睾丸下降不全,慢性生殖道感染,性功能障碍,内分泌障碍
下列哪项不是男性不育的原因,C,内分泌和染色体异常,精索静脉曲张,膀胱结石,长期接触放射线,精液异常
子痰好发于,C,婴幼儿,少年儿童,中、青年,老年,以上都不是
尿潴留时间较长，膀胱极度膨胀的患者，应分次导尿，首先放出多少为宜,E,100ml,200ml,300ml,400ml,以上都不是
前列腺增生症患者最常见下列哪种并发症,C,不育,阳痿,疝气,便秘,以上都不是
下列哪一组症状不是慢性前列腺炎的临床特征表现,C,小便淋沥不尽,尿频、尿急,尿道口溢脓液,会阴、腰骶部疼痛,以上都不是
诊断慢性前列腺炎时，前列腺液镜检白细胞数为,C,无,<10 个/视野,>10 个/视野,0～5 个/视野,以上都不是
在泌尿、男性前阴病中，肝经湿热证的临证常用处方是,B,草薜分清饮,龙胆泻肝汤,八正散,草薛渗湿汤,以上都不是
子痰中期治疗常用方是,A,滋阴除湿汤合透脓散,普济消毒饮合金铃子散,龙胆泻肝汤合透脓散,阳和汤合小金丹,以上都不是
下列哪一项不属于囊痈的病因,B,外感湿毒,外感风热,饮食不节,肝胆湿热,以上都不是
血精的病位在,D,睾丸,附睾,前列腺,精囊,以上都不是
附睾尾部实质性肿大，表面不光滑，输精管呈串珠状，质地坚韧，界限不清，首先考虑为,D,子痰,子痈,肾岩,附睾恶性肿瘤,以上都不是
有关子痰的描述哪一项是错误的,E,好发于中青年,附睾尾部局限性结节,输精管部呈串珠状结节,阴囊易成窦道,以上都不是
阴茎部恶性肿瘤中医称之为,D,肾囊风,子痈,痰,肾岩,以上都不是
“肾者主水，受五脏六腑之精而藏之，故五脏盛乃能泻。”出自何书,B,《中藏经》,《素问》,《金匮要略》,《灵枢》,以上都不是
子痰初期内治宜用,D,透脓散,五味消毒饮,黄连解毒汤,阳和汤,以上都不是
阴茎海绵体发生纤维性硬结，中医称之为,E,子痈,子痰,肾岩,硬下疳,以上都不是
慢性子痈气滞痰凝证可用,C,阳和汤,泻热汤,橘核丸,滋阴除湿汤,化坚二陈丸
囊痈湿热下注证可用,B,阳和汤,泻热汤,橘核丸,滋阴除湿汤,化坚二陈丸
清利湿热法适用于,A,肾子上或阴茎上慢性结节，皮色不变，亦不疼痛,尿急尿频，尿液黄赤，茎中热痛，精液赤浊，舌红苔黄腻,阴囊红肿热痛，肾子肿痛，小便短赤，口苦纳呆，苔黄腻,肾子硬结，少腹或会阴胀痛，排尿困难或闭塞不通，舌黯或有瘀点瘀斑,阴囊内积水，口干少津，大便秘结，舌干苔腻
行气活血法适用于,B,肾子上或阴茎上慢性结节，皮色不变，亦不疼痛,尿急尿频，尿液黄赤，茎中热痛，精液赤浊，舌红苔黄腻,阴囊红肿热痛，肾子肿痛，小便短赤，口苦纳呆，苔黄腻,肾子硬结，少腹或会阴胀痛，排尿困难或闭塞不通，舌黯或有瘀点瘀斑,阴囊内积水，口干少津，大便秘结，舌干苔腻
泌尿、男性疾病肝经湿热证的临床特点是,C,饮食不节，脾失健运，浊痰内生，下注前阴,饮食不节，脾胃损伤，水湿不化，下注前阴,饮食不节，脾失健运，湿热内生，下注前阴,肝肾亏损，脉络空虚，浊痰乘虚下注前阴,肾气不足，肾阳虚衰，水液不化，下注前阴
泌尿、男性疾病脾经湿热证的临床特点是,E,饮食不节，脾失健运，浊痰内生，下注前阴,饮食不节，脾胃损伤，水湿不化，下注前阴,饮食不节，脾失健运，湿热内生，下注前阴,肝肾亏损，脉络空虚，浊痰乘虚下注前阴,肾气不足，肾阳虚衰，水液不化，下注前阴
囊痈的病因病机是,C,湿热秽浊之邪侵及肝经、下注阴部,风热毒邪搏于肌肤而生,秽浊之毒酿生湿热，下注皮肤粘膜,淫秽疫毒与湿热、风邪杂合所致,以上均不是
阴茎痰核的病因病机是,A,湿热秽浊之邪侵及肝经、下注阴部,风热毒邪搏于肌肤而生,秽浊之毒酿生湿热，下注皮肤粘膜,淫秽疫毒与湿热、风邪杂合所致,以上均不是
中医的马口指,B,阴茎,尿道,睾丸,精索,阴囊
中医的宗筋指,A,阴茎,尿道,睾丸,精索,阴囊
中医的子系指,D,阴茎,尿道,睾丸,精索,阴囊
中医的肾子指,C,阴茎,尿道,睾丸,精索,阴囊
慢性子痈的临床特点为,A,青壮年，初起附睾结块，疼痛，压痛明显，与阴囊皮肤无粘连,青壮年，初起附睾结块，较硬，不痛或微痛，不红不热，输精管有串珠样改变,青少年，有疟腮史，或发病在流行季节和地区，睾丸肿大，早期能触及睾丸并能与附睾分开,发于任何年龄，初为睾丸内实质性肿块，有痛或无痛，质地坚硬，有沉重感，肿块部位在睾丸内而附睾正常,青少年，突发阴囊内剧痛，睾丸、附睾触痛明显，肿胀致睾丸、附睾界限不清，睾丸常向上收缩，抬高睾丸疼痛加剧
睾丸肿瘤的临床特点为,D,青壮年，初起附睾结块，疼痛，压痛明显，与阴囊皮肤无粘连,青壮年，初起附睾结块，较硬，不痛或微痛，不红不热，输精管有串珠样改变,青少年，有疟腮史，或发病在流行季节和地区，睾丸肿大，早期能触及睾丸并能与附睾分开,发于任何年龄，初为睾丸内实质性肿块，有痛或无痛，质地坚硬，有沉重感，肿块部位在睾丸内而附睾正常,青少年，突发阴囊内剧痛，睾丸、附睾触痛明显，肿胀致睾丸、附睾界限不清，睾丸常向上收缩，抬高睾丸疼痛加剧
湿热在脾经者常用,A,草薛分清饮,龙胆泻肝汤,八正散,导赤散,以上都不是
湿热在膀胱者常用,C,草薛分清饮,龙胆泻肝汤,八正散,导赤散,以上都不是
青年患者附睾有肿块，溃后脓液稀薄，首先考虑为,B,子痈,子痰,阴茎痰核,淋浊,以上都不是
老年男性患者发生急性尿潴留，首先考虑为,E,子痈,子痰,阴茎痰核,淋浊,以上都不是
发生于阴茎海绵体的纤维性硬结是,D,子痈,子痰,囊痈,阴茎痰核,以上都不是
发生于睾丸、附睾以外的阴囊部的急性化脓性感染是,C,子痈,子痰,囊痈,阴茎痰核,以上都不是
子痈的病因病机是,B,肝肾阴虚，阴虚火旺,湿热下注，经络阻隔,肝气郁结，肝火上炎,跌打损伤，络伤血瘀,以上都不是
子痰的病因病机是,E,肝肾阴虚，阴虚火旺,湿热下注，经络阻隔,肝气郁结，肝火上炎,跌打损伤，络伤血瘀,以上都不是
前列腺增生症的临床特征是,B,尿道口常有白色分泌物溢出,排尿困难、尿潴留,射精时精液呈淡红色或棕色,阴茎背侧触及硬结或索状斑块,以上都不是
阴茎痰核的临床特征是,D,尿道口常有白色分泌物溢出,排尿困难、尿潴留,射精时精液呈淡红色或棕色,阴茎背侧触及硬结或索状斑块,以上都不是
血精的临床特征是,C,尿道口常有白色分泌物溢出,排尿困难、尿潴留,射精时精液呈淡红色或棕色,阴茎背侧触及硬结或索状斑块,以上都不是
慢性前列腺炎的临床特征是,A,尿道口常有白色分泌物溢出,排尿困难、尿潴留,射精时精液呈淡红色或棕色,阴茎背侧触及硬结或索状斑块,以上都不是
以下哪一项不是周围血管疾病的常见症状和体征,C,疼痛,肿胀,发热,溃疡,坏疽
筋瘤的病因病机是,B,寒湿凝滞，痰浊瘀阻,长期站立，劳倦伤气,长期卧床，气血运行不畅,肾阳不足，寒湿之邪外侵,跌仆损伤，气血凝滞
不属于血栓性浅静脉炎范畴的是,D,赤脉,恶脉,青蛇毒,脉痹,黄鳅痈
脱疽初起，患者足背动脉、胫后动脉的脉象多表现为,D,弦数,洪大,结代,微弱,绝
在脱疽的诊断中下列哪一条是错误的,B,20～40岁男性多发,足趾遇冷刺激后发冷苍白变紫,患侧下肢肢端疼痛，伴迁移性静脉炎或间歇性跛行,患侧足背动脉搏动减弱或消失,足趾持续发冷，皮肤苍白或青紫，或有干性坏疽
某男，左足怕冷、疼痛、间歇性跛行年余。月余来足痛转为持续性静止痛，夜间痛剧，不能入睡，足背动脉搏动消失。应诊断为,B,痹证,脱疽,糖尿病坏疽,闭塞性动脉硬化症,雷诺病(肢端动脉痉挛症)
四妙勇安汤治疗脱疽适用于,E,寒湿阻络证,血脉瘀阻证,气血两虚型,热毒伤阴证,湿热毒盛证
治疗脱疽的基本原则是,A,活血化瘀,疏风清热,清热凉血,疏肝行气,益气活血
下列哪项不是脱疽早期的表现,E,患肢发凉,患肢麻木,患肢足背动脉搏动减弱,间歇性跛行,静止痛
以下哪种疾病易引起肺梗塞,C,廉疮,脱疽,股肿,浅静脉炎,褥疮
廉疮可由下列哪些原因引起,A,长期站立负重,虫咬,局部皮肤破损,湿疹及过敏性皮炎,外伤
廉疮疮面有较多腐肉，外用药宜选,B,红油膏,七二丹,九一丹,白玉膏,生肌玉红膏
廉疮的病因病机是,C,久病气血亏虚，不能营养肌肤,气血失和，经脉阻滞，气血凝结,湿热下注，瘀血凝滞经络,气血失和，风寒痰浊凝聚,寒湿凝聚经络，闭塞不通，气血运行不畅
臃疮创面流水潮红，周围皮肤红肿痒痛，治疗宜用,B,草薛化毒汤,二妙丸和五神汤,黄连解毒汤,五神汤,三妙散
下列哪一项与廉疮关系最密切,C,好发于易受压迫及磨擦的部位,气血亏虚，或因局部受压，肌肤失养,多由湿热下注，瘀血凝滞经络所致,好发于儿童与少年,痰浊凝聚，风寒侵袭是病因
股肿多发生于,B,上肢静脉,下肢静脉,胸壁静脉,颈静脉,面部静脉
股肿最危险的并发症为,C,局部疼痛,发热,肺栓塞,水肿,患肢增粗
股肿后期的治法为,C,和营活血，清热利湿,清热利湿，活血通络,益气健脾，祛湿通络,凉血清热，活血通络,化痰软坚，利水消肿
关于脱疽寒湿阻络证的症状错误的是,D,间歇性跛行,肢体寒冷,苍白,静息痛,趾阳脉搏动减弱
可作为股肿发病原因的是,D,吸烟,寒冷,长期站立,创伤或产后,静脉注射药液
血栓性浅静脉炎的发病原因是,B,寒湿之邪外侵,湿热之邪外侵,外感风热之邪,肝肾不足，气虚血亏,肺胃积热下迫
股肿早期的治法为,A,活血化瘀，清热利湿,清热利湿，理气活血,温阳利水，活血化瘀,凉血清热，活血通络,化痰软坚，利水消肿
脱疽的好发部位是,B,双侧小腿,四肢末端，以下肢多见,双上肢,足踝部,双手
廉疮的好发部位是,D,前臂下1/3,足部,臀部,小腿下1/3,膝内侧
某男，32岁。右下肢麻木、发凉、怕冷2年，每行走约1km需停下休息。体格检查：右下肢皮温较对侧低，色泽苍白，右足背动脉搏动减弱。诊断考虑为,A,血栓闭塞性脉管炎,大动脉炎,右下肢动脉硬化性闭塞症,右下肢深静脉血栓形成,右下肢血栓性浅静脉炎
某男，35岁。吸烟15年，出现右下肢麻木、发凉、间歇性跛行8年。患者初次就诊时，下列哪项措施最重要,E,使用抗生素,使用激素,使用免疫抑制剂,嘱患者保暖,嘱患者戒烟
病人患肢暗红，足背汗毛脱落，趾甲变厚，足背动脉搏动消失；患肢持续性静止痛，夜间为重，甚则抱膝而坐。舌质红或紫暗，脉沉细而涩，治法是,C,清热解毒止痛,温阳通脉散寒,活血通络止痛,升提补气养血,以上都不是
脱疽湿热毒盛证的治法是,C,活血通络止痛,温阳通脉、散寒止痛,利湿、活血化瘀,补气养血止痛,以上都不是
脱疽病人久病面容萎黄，消瘦，患肢肌肉萎缩，皮肤干燥脱屑，趾甲干燥肥厚，趾部坏死组织脱落后，创面生长缓慢，舌淡，脉沉细弱。其治法应为,D,温阳通脉散寒,活血通络止痛,温补肾阳,补气养血为主,以上都不是
廉疮若见则提示发生癌变,C,溃疡多年不愈,伴有静脉曲张,溃疡状如火山,疮面肉色灰白,以上都不是
廉疮的好发部位是,B,前臂下1/3,小腿下1/3,臀部下1/3,足部,以上都不是
筋瘤病人久站时瘤体增大，下肢下坠不适感加重。伴气短乏力，腰酸。舌质淡，苔薄白，脉细无力。证属,D,寒湿凝筋证,外伤瘀滞证,湿热蕴结证,劳倦伤气证,以上都不是
筋瘤病人下肢青筋盘曲，状如蚯蚓，表面色青紫，患肢偶有肿胀疼痛。舌有瘀点，脉细涩。证属,A,外伤瘀滞证,寒湿凝筋证,劳倦伤气证,湿热蕴结证,以上都不是
股肿的主要表现是,A,肢体水肿,肤温升高,廉疮,肤温降低,肤色紫暗
脱疽早期的主要表现是,D,肢体水肿,肤温升高,廉疮,肤温降低,肤色紫暗
脱疽好发于,A,四肢末梢,小腿下部,骶尾部,髋部,脊背部
廉疮好发于,B,四肢末梢,小腿下部,骶尾部,髋部,脊背部
脱疽患者表现为患肢暗红、紫红或青紫，足背汗毛脱落，皮肤、肌肉萎缩，趾甲变厚，足背动脉搏动消失。患肢疼痛，以夜间为甚，证属,B,寒湿阻络证,血脉瘀阻证,湿热毒盛证,气阴两虚证,热毒伤阴证
脱疽患者表现为面容憔悴、萎黄，消瘦，五心烦热，渴不欲饮，患肢肌肉萎缩，皮肤干燥脱屑，趾甲干燥肥厚，创面生长缓慢，肉芽淡而不鲜。证属,D,寒湿阻络证,血脉瘀阻证,湿热毒盛证,气阴两虚证,热毒伤阴证
脱疽因寒湿而引发者，其初起的脉象多数是,E,弦细而迟,细数,迟弱欲绝,结代,细而迟
脱疽初期，患者的足背动脉的脉象多数是,A,弦细而迟,细数,迟弱欲绝,结代,细而迟
脱疽发病的主要病因是,A,寒湿之邪,肾阴不足,气滞血瘀,痰凝阻络,血虚瘀阻
股肿发病的主要病因是,C,寒湿之邪,肾阴不足,气滞血瘀,痰凝阻络,血虚瘀阻
脱疽血脉瘀阻证的主要表现为,A,患肢疼痛持续不止，足背动脉搏动消失,患肢麻木、发凉，色苍白，足背动脉搏动减弱,患趾紫黑溃烂，舌质红，苔黄腻，脉数,患趾紫暗，遇冷变色，变为苍白、紫暗、潮红等颜色,患趾溃烂、色苍白，创面久不愈合，舌淡胖，脉细无力
脱疽湿热毒盛证的主要表现为,C,患肢疼痛持续不止，足背动脉搏动消失,患肢麻木、发凉，色苍白，足背动脉搏动减弱,患趾紫黑溃烂，舌质红，苔黄腻，脉数,患趾紫暗，遇冷变色，变为苍白、紫暗、潮红等颜色,患趾溃烂、色苍白，创面久不愈合，舌淡胖，脉细无力
筋瘤好发于,C,四肢末梢,小腿下部,下肢,四肢或胸壁,以上都不是
血栓性浅静脉炎好发于,D,四肢末梢,小腿下部,下肢,四肢或胸壁,以上都不是
筋瘤病人久站时瘤体增大，下肢下坠不适感加重。伴气短乏力，腰酸。舌质淡，苔薄白，脉细无力。证属,C,外伤瘀滞证,寒湿凝筋证,劳倦伤气证,湿热蕴结证,以上都不是
筋瘤病人下肢青筋盘曲，状如蚯蚓，表面色青紫，患肢偶有肿胀疼痛。舌有瘀点，脉细涩。证属,A,外伤瘀滞证,寒湿凝筋证,劳倦伤气证,湿热蕴结证,以上都不是
静脉疾病的最常见症状是,B,溃疡,肿胀,发凉、麻木,发热,以上都不是
动脉疾病的最常见症状是,C,溃疡,肿胀,发凉、麻木,发热,以上都不是
冻疮病名始见于,D,《黄帝内经》,《刘涓子鬼遗方》,《疮疡经验全书》,《诸病源候论》,《五十二病方》
Ⅱ度冻疮损伤一般深及,B,表皮层,真皮层,皮肤全层及皮下组织,肌肉,骨骼
重度烧伤患者发生休克的时间一般为,D,12小时之内,24小时之内,36小时之内,48小时之内,72小时之内
五指并拢时，一只手掌的面积占全身体表面积的,B,0.005,0.01,0.02,0.05,0.09
中度烧伤是,C,总面积在31%～50%,III度烧伤在11%～20%,IⅡ度烧伤在11%～30%,II度烧伤在10%以下,小儿I度烧伤在5%～10%
属神经毒类的毒蛇是,D,蜂蛇,竹叶青蛇,尖吻蝮蛇,海蛇,眼镜蛇
下列何种毒蛇不属于血循环毒类,A,金环蛇,烙铁头蛇,竹叶青蛇,尖吻蝮蛇,蜂蛇
干燥蛇毒的毒力保持时间为,E,24小时,15～30天,3～6个月,5～10年,25年以上
毒蛇咬伤后，下列局部处理方法错误的是,C,早期结扎,扩创排毒,艾灸法,烧灼法,封闭疗法
蛇伤扩创排毒时，下列处理错误的是,D,沿牙痕纵行切开,作十字形切开,取出遗留的毒牙,伤口流血不止，仍可切开,切开后，用双氧水反复冲洗
破伤风的潜伏期一般为,C,24小时,2～3天,4～14天,20～30天,2～6个月
破伤风前驱期不应有的症状是,E,头痛、头晕,乏力、多汗,烦躁、打呵欠,咀嚼无力,张口困难
破伤风发作期最先出现的症状是,B,苦笑面容,张口困难,颈项强直,角弓反张,手足抽搐
治疗破伤风之风毒人里证，可采用的方剂为,D,玉真散,五虎追风散,牵正散,木萸散,沙参麦冬汤
急性阑尾炎发病率居外科急腹症的,A,首位,第二位,第三位,第四位,第五位
最早见“肠痈”病名记载的医学著作是,E,《金匮要略》,《五十二病方》,《诸病源候论》,《刘涓子鬼遗方》,《素问 ·厥论》
确诊为急性阑尾炎的主要依据是,D,右侧腹痛，伴恶寒、发热,右下腹痛突然而剧烈，检查发现右侧囊性肿物,突发性右下腹绞痛，腹软，肾区叩痛,转移性右下腹疼痛，局限性右下腹压痛、拒按,阵发性右侧腹部疼痛，伴恶心欲呕
Ⅱ度冻疮的疮面表现为,B,皮肤红斑、水肿,皮肤红肿显著，有水疱或大疱,皮肤发黑或紫黑,组织坏疽,以上都不是
严重全身性冻疮在急救复温时不宜采用,D,用38℃~42℃恒温热水浸泡伤肢或全身,给予姜汤、糖水、茶水等温热饮料,静脉输入低于37℃以内的加温葡萄糖溶液,采用雪搓、火烤或冷水浴,以上都不是
按照中国九分法计算烧伤面积，双上肢占,C,0.045,0.09,0.18,0.36,以上都不是
浅Ⅱ度烧伤创面无感染时的愈合时间为,C,2～3天,3～5天,7～14天,21～28天,以上都不是
会阴部烧伤，常采用的外治方法为,D,湿敷疗法,包扎疗法,湿润疗法,暴露疗法,以上都不是
蛇伤危重症患者肾衰早期可采用的方剂为,D,清营汤,黄连解毒汤,五味消毒饮,麻黄连翘赤小豆汤,以上都不是
蛇伤呼吸衰竭时，下列具有兴奋膈肌作用的方剂是,B,小陷胸汤,三拗汤,甘露消毒丹,补中益气汤,以上都不是
主要成分是神经毒的蛇毒，中医称为,A,风毒,热毒,火毒,风火毒,以上都不是
草药外敷治蛇伤，可以引起发泡的草药是,C,半边莲,七叶一枝花,鹅不食草,芙蓉叶,以上都不是
破伤风潜伏期的最短时间为,B,12小时,24小时,3～5天,4～14天,以上都不是
下列何项非破伤风的临床特点,C,肌肉强直性痉挛,肌肉阵发性抽搐,发作期神志不清,发作期排尿困难,以上都不是
治疗破伤风严重性痉挛的常用药物是,D,安定口服或静脉注射,鲁米那钠肌注,水合氯醛口服或灌肠,冬眠一号肌注,以上都不是
表现为转移性右下腹疼痛的急腹症，应该首先考虑为,C,胃、十二指肠溃疡穿孔,右侧输尿管结石,急性阑尾炎,急性胆囊炎、胆石症,以上都不是
急性阑尾炎行胃肠减压术的指征是,D,急性化脓性阑尾炎,阑尾周围脓肿,阑尾穿孔并发弥漫性腹膜炎,阑尾穿孔并发弥漫性腹膜炎伴有肠麻痹,以上都不是
属寒凝血瘀证的冻疮患者，内服方剂可采用,A,当归四逆汤或桂枝加当归汤,四逆加人参汤或参附汤加味,四妙勇安汤,人参养荣汤或八珍汤合桂枝汤,托里消毒散或参苓白术散
属寒盛阳衰证的冻疮患者，内服方剂可采用,B,当归四逆汤或桂枝加当归汤,四逆加人参汤或参附汤加味,四妙勇安汤,人参养荣汤或八珍汤合桂枝汤,托里消毒散或参苓白术散
属气血虚瘀证的冻疮患者，内服方剂可采用,D,当归四逆汤或桂枝加当归汤,四逆加人参汤或参附汤加味,四妙勇安汤,人参养荣汤或八珍汤合桂枝汤,托里消毒散或参苓白术散
按中国九分法，双上肢烧伤面积为,A,2×9%=18%,3×9%=27%,4×9%=36%,5×9%+1%=46%,5×9%-1%=44%
按中国九分法，双下肢包括臀部烧伤面积为,D,2×9%=18%,3×9%=27%,4×9%=36%,5×9%+1%=46%,5×9%-1%=44%
按中国九分法，躯干前后包括外阴部烧伤面积为,B,2×9%=18%,3×9%=27%,4×9%=36%,5×9%+1%=46%,5×9%-1%=44%
"成人 III 度烧伤面积在11%～20%,属于",C,轻度烧伤,中度烧伤,重度烧伤,特重烧伤,严重烧伤
"成人 II 度烧伤面积在21%～28%,属于",D,轻度烧伤,中度烧伤,重度烧伤,特重烧伤,严重烧伤
