称为“阴脉之海”的是,B,冲脉,任脉,督脉,阴跷脉,阴维脉
素体津亏血耗者，受邪后多从,C,寒化,热化,燥化,湿化,传化
气虚湿盛体质者，受邪后多从,D,寒化,热化,燥化,湿化,传化
金元四大家中，“养阴派”的代表人物是,D,刘完素,李杲,张从正,朱震亨,张元素
阴阳最初的含义是指,E,气候的寒温,光线的阴暗,自然界的水火,性别的雌雄,日光的向背
以下可用阴阳互相转化来解释的是,B,阳虚则寒,重阴必阳,寒者热之,阴损及阳,阴盛则阳病
在自然界“五化中”属于五行之土的是,D,生,收,长,化,藏
“木火刑金”在五行学说中属于,B,相乘,相侮,相生,子病及母,母病及子
心为五脏六腑之大主，主要是因为,C,心主血,心主脉,心藏神,心为生之本,心为君主之官
脾主升清的内涵是,C,脾之阳气上升心肺,脾气以升为健,脾气将水谷精微上输头面心肺,脾气输布水液于全身,脾气上升防止下出血
全身气机升降的枢纽为,A,脾胃,肝肺,心肾,心肝,肝胆
与防止出血密切相关的两脏是,B,心与肝,肝与脾,心与脾,肝与肾,肺与肝
当人处于安静状态时，血主要归藏于,B,心,肝,脾,肺,肾
精汁是指,D,精液,髓液,肠液,胆汁,胃液
主一身阴阳，为“水火之宅”的脏是,E,肝,心,脾,肺,肾
肺的通调水道功能主要依赖于,C,肺主一身之气,肺司呼吸,肺主宣发和肃降,肺朝百脉,肺输精于皮毛
血之余为,C,骨,齿,发,血海,唇
魄门位于,D,大小肠连接处,胃与小肠连接处,胃上口,大肠末端,会厌
天癸的产生主要取决于,A,肾中精气的充盈,脾气的健运,肾阳的蒸腾气化,肝血的充足,肾阴的濡润滋养
临床上利小便实大便的理论依据为,E,脾的运化功能,肺的通调水道功能,小肠主液功能,小肠的主受盛功能,小肠的泌别清浊功能
"“上焦如雾”,实际是指何作用",E,心主血脉,肺主气,肺主治节,胃的受纳,心肺的输布气血
以下哪项既为奇恒之腑，又为五体之一,C,脑,筋,脉,胆,女子胞
脏腑之中，被称为“孤府”的是,C,胆,胃,三焦,脾,脑
提出脑为元神之府的是,A,李时珍,王清任,汪昂,华佗,张景岳
经络系统中，具有加强十二经脉在体表联系的是,D,正经,经别,经筋,别络,奇经
下列哪项不属火邪的致病特点,E,易伤津耗气,易生风动血,易扰乱神明,易致肿疡,易阻遏气机
激发整个脏腑经络生理活动的功能是气的,B,温煦作用,推动作用,防御作用,固摄作用,中介作用
与气的生成密切相关的脏是,C,心肝脾,肺肝肾,肺脾肾,心肺肾,肝脾肾
充养脑髓、滑利关节的主要是,E,精,气,血,津,液
治疗血虚证时，常在补血药中配用益气之品的机理是,A,气能生血,气能行血,气能摄血,血能载气,血能生气
在机体内，除哪项外，其他所有正常的液体都属于津液的范畴,C,胃液,肠液,痰液,泪液,唾液
“夺血者无汗”的生理基础是,C,肝肾同源,乙癸同源,津血同源,精血同源,血能载气
头痛在巅顶者，病属,E,太阳经,少阳经,阳明经,太阴经,厥阴经
下列除哪项外，都不是暑邪的致病特点,C,炎上,生风,易夹湿,易伤肺,阻遏气机
下列具有表里关系的经脉是,B,手太阴与手太阳经,足厥阴与足少阳经,督脉与任脉,阴跷脉与阳跷脉,阴维脉与阳维脉
七情内伤致病最易损伤哪几脏,D,心肺脾,心肺肝,肺脾肾,心肝脾,肝脾肾
嗜食生冷寒凉之品易导致,B,耗伤胃阴,损伤脾胃阳气,助湿生痰,阻滞脾胃气机,以上都不是
劳力过度主要伤及,A,气,血,精,神,津液
所谓“虚”的病机是指,B,正气充盛,正气虚衰,脏腑功能减退,邪气亢盛,以上皆非
《黄帝内经》所说“大怒则形气绝，而血菀于上，使人薄厥”的病机是指,D,气不摄血,气机逆乱,血随气脱,血随气逆,血随气结
痰饮、瘀血、结石在形成过程中均与下列哪项有关,C,寒凝,气虚,气滞,血热,湿热
下列哪项不属于瘀血致病的临床表现,D,肌肤甲错,出血紫黯,刺痛拒按,唇甲色淡,肿块固定
下列“诸海”中错误的是,B,脑为髓之海,肺为气之海,冲脉为十二经脉之海,冲脉为血海,胃为水谷之海
下列哪一种病邪致病，可表现为周身困重，四肢倦怠,C,寒邪,暑邪,湿邪,瘀血,寒邪
“至虚有盛候”指的是,A,真虚假实证,真实假虚证,真寒假热证,真热假寒证,虚实转化证
六淫中具有善行数变特性的邪气是,A,风,寒,湿,燥,火
过食咸味可致,E,心盛乘肺,肝盛乘脾,脾盛乘肾,肺盛乘肝,肾盛乘心
大肠为,E,元神之府,玄府,血之府,孤府,传导之府
临床出现自汗、多尿、出血、遗精等症，是气的哪一项功能减退,D,推动作用,温煦作用,防御作用,固摄作用,中介作用
“阴中求阳”的治疗方法是指,A,在扶阳剂中适当佐以滋阴药,滋阴剂中适当佐以扶阳药,在温阳散寒同时佐以扶阳,在清泻阳热同时佐以滋阴,以上皆是
攻补兼施治则适用于何证,E,虚证,真实假虚证,实证,真虚假实证,虚实夹杂证
适用“急则治标”治则的是,C,阴虚咳嗽,持续低热,大出血,慢性胃痛,下肢水肿
中医治疗疾病的指导思想是,A,治病求本,扶正祛邪,调整阴阳,三因制宜,标本缓急
与妇女妊娠关系最密切的是,B,督脉,任脉,阳跷脉,冲脉,带脉
能调节全身阳经气血的是,A,督脉,任脉,阳跷脉,冲脉,带脉
“通因通用”的治则适用于,C,阳虚阴盛，格阳于外的真寒假热证,里热盛极，格阴于外的真热假寒证,瘀血内阻所致的出血证,中气不足所致的脘腹胀满,实热壅积的阳明腑实证
“塞因塞用”的治则适用于,D,阳虚阴盛，格阳于外的真寒假热证,里热盛极，格阴于外的真热假寒证,瘀血内阻所致的出血证,中气不足所致的脘腹胀满,实热壅积的阳明腑实证
"《素问 · 疏五过论》“尝贵后贱” 可致""脱营"",其影响因素是",B,体质因素,社会环境因素,地理差异因素,季节因素,
首先提出“百病皆由脾胃衰而 生”的医家是,B,张从正,李杲,朱丹溪,刘完素,
提出“阳常有余，阴常不足”观点的医家是,A,朱丹溪,刘完素,张从正,张元素,
首先提出“六气者从火化”观点的专家是,D,朱丹溪,张元素,李杲,刘完素,
下列有关“证”的表述中，正确的是,C,对疾病所表现症状的综合认识,对疾病症状与体征的综合分析,对疾病某一阶段的病理概括,对疾病某一阶段的症状概括,
提出“三因学说”的医家是,D,巢元方,张景岳,张仲景,陈无择,
中医学整体观念的内涵是,D,形神合一的统一观,自然界是统一的整体,以五脏为中心的统一观,人体为整体，并与自然界统一,
根据“人与天地相应”的观点，下列除哪项外，均对人体产生影响,D,季节气候变化,昼夜晨昏变化,地区方域不同,饮食偏嗜不同,阴居以避暑
提出“邪去则正安”观点的医家是,A,张子和,李杲,刘完素,朱震亨,李时珍
下列哪项属于中医学的基本特点,D,同病异治,异病同治,审因论治,辨证论治,标本同治
与“阳胜则阴病”病理变化相关的是,B,互根互用,对立制约,交感互藏,相互转化,
心火亢盛引动肝火而致心肝火旺，根据五行理论应选择的治则是,C,抑强,扶弱,泻子,补母,
“阴中有阳，阳中有阴”是指,A,阴阳互藏,阴阳消长,阴阳平衡,阴阳交感,
“益火补土”法适用于,A,肾阳虚损证,心肾阳虚证,心脾两虚证,脾胃阳虚证,
“孤阴不生，独阳不长”所阐述的阴阳关系是,B,阴阳转化,阴阳互根,相互对立,相互消长,
下列各项中宜遵循五行相生规律施治的是,A,水不涵木,水火不济,木不疏土,木火刑金,
阴损及阳，阴阳俱损的理论依据是,B,阴阳转化,阴阳互根,阴阳对应,阴阳消长,
下列各项中属于五行相侮的是,D,其气不足，则制己所不胜,其气有余，则制己所胜,其气不足，则制己所胜,气有余，则侮所不胜,
泻南补北的含义是,D,泻胃火补肝阴,泻肺火补肝阴,泻肝火补肾水,泻心火补肾水,
“阴病治阳”的含义是,D,阳中求阴,阴中求阳,补阴以制阳,补阳以制阴,
“阴在内，阳之守也；阳在外，阴之使也”所阐述的阴阳关系是,B,相互转化,互根互用,消长平衡,对立制约,
按照五行学说，属于“母病及子”的是,C,土虚水侮,土壅木郁,水不涵木,木火刑金,
下列选项中反映阴阳对立制约关系的是,D,寒极生热，重阴必阳,热极生寒，重阳必阴,阴在内，阳之守也,动极者，镇之以静,
抑木扶土法的理论基础是,C,五行相乘,五行相侮,五行相克,五行相生,
下列选项中反映阴阳消长平衡关系的是,A,动极者，镇之以静,壮水之主，以制阳光,善补阳者，阴中求阳,善补阴者，阳中求阴,
子盗母气的理论基础是,A,五行相生,五行相克,五行相乘,五行相侮,
“无阳则阴无以生，无阴则阳无以化”说明的阴阳关系是,B,阴阳对立,阴阳互根,阴阳平衡,阴阳制约,
下列选项中按五行相生次序排列的是,A,角、微、宫、商、羽,呼、歌、笑、哭、呻,筋、肉、脉、骨、皮毛,青、黄、赤、白、黑,
天人相应四时脉象变化《素问·脉要精微论》“春日浮”可见,A,如鱼之游在波,泛泛乎万物有余,蛰虫将去,蛰虫周密,
确立“阴中求阳，阳中求阴”的理论依据是,B,阴阳对立制约,阴阳互根互用,阴阳互为消长,阴阳相互转化,
《素问·五运行大论》“其不及，则己所不胜，侮而乘之”是指,D,相生,相克,相侮,相乘,
所谓“孤阴不生，独阳不长”指阴阳哪种关系失常,D,消长平衡,对立制约,交感互藏,互根互用,
"《难经经释》所说""脏气受制于 我，则邪气不能深入，故为微 邪”是指那种疾病传变形式",D,母病及子,子病犯母,相乘,相侮,
下列治法中与相克规律无关的是,C,抑木扶土,培土制水,滋水涵木,佐金平木,
“无阳则阴无以生，无阴则阳无以化”是指,C,阴阳对立制约,阴阳消长平衡,阴阳互根互用,阴阳交感互藏,阴阳相互转化
按五行规律传变“受我之气者，其力方旺，还而相克，来势必甚”是指,B,母病及子,子病犯母,相乘传变,相侮传变,表里相传
下列选项中与相生规律无关的治法是,E,滋水涵木,益火补土,培土生金,金水相生,培土制水
《灵枢·顺气一日分为四时》“夫百病者，多以旦慧”是因为,A,人氣始生，病气衰,人氣长，长则胜邪,人氣始衰，邪气始生,人氣入脏，邪气独居于身,人氣抗邪，卫外为固
根据阴阳学说药用五味，下列属阳的是,D,辛、甘、酸,酸、苦、咸,辛、苦、甘,辛、甘、淡,辛、淡、咸
《难经经释》“邪扶生气而来，虽进而易退”是指,A,母病及子,子病犯母,相乘传变,相侮传变,表里传变
下列除哪项外都体现了阴阳的互根关系,D,阴在内，阳之守也,孤阴不生，独阳不长,阳在外，阴之使也,重阴必阳，重阳必阴,阴损及阳，阳损及阴
根据五行规律脾病及肝属于,B,相克,相侮,母病及子,相乘,子病犯母
《内经》“动极者，镇之以静；阴亢者，胜之以阳”说明阴阳关系,E,阴阳对立,阴阳互根,阴阳平衡,阴阳转化,阴阳制约
关于五行相侮，下列说法正确的是,D,母气有余，传乘其子,子气有余，传乘其母,气有余则制己所胜,气有余则乘侮其所不胜,气不及则己所不胜侮而乘之
下列符合阴阳对立制约关系的是,B,寒极生热,寒者热之,阴损及阳,重阳必阴,阴中求阳
《景岳全书·新方八略》“阴得阳升而泉源不竭”的治法则是,C,益火之源，以消阴翳,壮水之主，以制阳光,阳中求阴，阴气得复,阴中求阳，阳气充盛,阳病治阴，阴阳平衡
下列非五行相生次序排列者是,B,呼、笑、歌、哭、呻,角、徵、商、宫、羽,青、赤、黄、白、黑,筋、脉、肉、皮毛、骨,酸、苦、甘、辛、咸
阴阳不能相互维系，可出现,C,阳胜则热，阴胜则寒,阳虚则寒，阴虚则热,阴盛格阳，阳盛格阴,阴虚阳亢，阳虚阴盛,阴损及阳，阳损及阴
根据五行归类，肝之变动为,A,握,忧,哕,栗,
根 据 五 行 归 类 ， 肾 之 变 动 为,D,握,忧,哕,栗,
肾阳虚损以致脾阳不振的治法是,A,益火补土法,金水相生法,泻火补水法,培土制水法,
肾阴不足，心火偏亢，心肾不交 的治法是,C,益火补土法,金水相生法,泻火补水法,培土制水法,
根据五行归类，肺之变动为,D,握,哕,栗,咳,
根据五行归类，脾之变动为,B,握,哕,栗,咳,
肝火炽盛，有升无降的治法是,C,培土制水,抑木扶土,实则泻其子,虚则补其母,
脾虚不运，水湿泛滥的治法是,A,培土制水,抑木扶土,实则泻其子,虚则补其母,
以时间划分阴阳，则子时至卯时 属,B,阳中之阳,阴中之阳,阳中之阴,阴中之阴,阴中之至阴
以脏腑部分划分阴阳，则肾属,D,阳中之阳,阴中之阳,阳中之阴,阴中之阴,阴中之至阴
肝气犯脾，属于,A,相乘,相克,子病犯母,相侮,母病及子
肺病及脾，属于,C,相乘,相克,子病犯母,相侮,母病及子
"《内经》所谓“阴阳之征兆”, 是指",D,天地,男女,左右,水火,上下
"《内经》所谓“阴阳之道路”, 是指",C,天地,男女,左右,水火,上下
脾之变动为,A,哕,握,忧,咳,栗
心之变动为,C,哕,握,忧,咳,栗
肾阳虚不能温脾，以至脾阳不 振，其治疗宜采用,A,益火补土法,金水相生法,抑木扶土法,培土制水法,泻火补水法
肾阴不足，心火偏亢，以致心肾 不交，其治疗宜采用,E,益火补土法,金水相生法,抑木扶土法,培土制水法,泻火补水法
根据《素问》，女子“面始焦，发始堕，面始白”与哪条经脉有关,C,太阴脉衰,少阴脉衰,阳明脉衰,少阳脉衰,
下列选项中，属于三焦功能失司的病理变化是,C,水谷精微输布障碍,水谷受纳腐熟障碍,全身水液代谢障碍,糟粕传化排泄障碍,
五脏化五液，心在液为,C,泪,唾,汗,涎,
肺主一身之气基于,B,肺的肃降功能,肺的呼吸功能,肺的百脉功能,肺的宣发功能,
化生“涎”的脏腑是,C,肾,肺,脾,肝,
肝能促进脾胃运化功能的机制是,C,调和气血,调畅情志,调畅气机,调节血量,
下列各项中，对气机升降运动起枢纽作用的是,D,肺主呼气，肾主纳气,心火下降，肾水上济,肝气主升，肺气主降,脾气主升，胃气主降,
“天癸至，任脉通，太冲脉盛”的生理基础是,C,肺朝百脉的功能正常,肝的阴血充足,肾的精气充盛,心主血脉的功能正常,
在肺的生理功能中，与调节汗液排泄有关的是,B,通调水道,宣发卫气,主呼吸之气,主一身之气,
“肾为气之根”的含义是,D,肾为阳气之根本,肾藏先天之精气,肾主一身之气化,肾摄纳吸入之清气,
“肺主一身之气”的含义是,C,推动气血运行,呼出体内浊气,生成宗气，调节气机,宣发卫气,
肺调通水道的功能依赖于,C,肺主一身之气,肺司呼吸而生宗气,肺主宣发肃降,肺朝百脉而主治节,
肝与肺在生理上的协调主要表现于,A,气机的调节,血液的运行,津液的代谢,营卫的协调,
“脾气散精，上归于肺”所反映的生理功能是,D,脾阳主升,脾主运化,脾主运输,脾主升清,
乙癸同源指的是,B,金水相生,精血互化,津气互生,水火既济,
助心推动和调控血行的肺功能是,D,主一身之气,输精于皮毛,主宣发肃降,朝百脉主治节,
心与脾的生理联系主要表现于,C,血液的统摄和贮藏,津液与血液的互化,血液的生成和运行,精髓与血液的互化,
脾的生理特性是,A,以升为健,其气散精,运化水谷,其气转输,
“肺为水之上源”指的是,D,肺气宣发，布散津液,肺气肃降，有利大肠吸收津液,辅助心君，转输气血津液,宣发肃降，通调水道,
脾主升清主要指,C,脾之阳气主升,脾以升为健,脾气散精，上归于肺,运化水液，转输周身,
人体骨骼的发育主要依赖于,B,肝藏血以养骨,肾藏精生髓以养骨,脾运化精微以养骨,心主血脉，推动气血以养骨,
胆汁的生成源于,A,肝之余气,肺之宗气,心之营气,脾胃之精气,
气机升降之枢是指,D,肺主呼气，肾主纳气,心火下降，肾水上升,肝主左升，肺主右降,脾气主升，胃气主降,
多唾或久唾，则易耗伤,B,肺中津气,肾中精气,肝的阴液,脾的阴液,
《素问·上古天真论》说“丈夫五八”则,B,阳气衰竭于上，面焦,肾气衰，发堕齿槁,肝气衰，筋不能动,肾脏衰，形体皆极,
以调节气机升降为主要作用的脏腑是,D,肺与肾,肾与肝,脾与胃,肝与肺,
随神往来者，谓之,C,志,魄,魂,意,
“肝肾同源”的主要依据是,D,厥少二阴之气相通,相火寄于肝肾,肝肾同属于下焦,精血互生互化,
与人体生长、发育和生殖功能关系最为密切的是,A,肾主封藏,心主血脉,脾主运化,肝主疏泄,
“天癸至”“太冲脉盛”的生理效应是,A,月经来潮,汗尿排泄,血液运行,津液代谢,
五脏六腑之精皆上注于目，其中肝之精气上注于,B,瞳子,黑眼,眼络,白眼,
肺与大肠的联系主要表现为,C,肺气宣发，布津于大肠,肺气肃降，以助水液于大肠,肺气肃降，以助大肠传导,肺主治节，调节大肠功能,
与《素问·调经论》“有余则笑不休、不足则悲”相关的是,D,心气,宗气,心阴,心神,心阳
能反映其特点为刚脏、主升主动的生理功能是,C,脾主升清,肺主宣发,肝主疏泄,肾主蒸化,心主神志
与肝主疏泄不密切的生理功能是,E,气机的调节,津液的代谢,血液的运行,情志的调节,精气的封藏
区分五脏、六腑、奇恒之腑的最主要依据是,E,解剖形态,所在部位,阴阳属性,经脉络属,功能特点
“天癸”的产生取决于,D,先天禀赋的充盛,机体元气的充沛,肾中阴阳的平衡,肾中精气的充盈,水谷精微的充养
上焦生理功能的特点是,A,若雾露之溉,主气之生发,通行宗、营、卫三气,元气之别使,主宣发肃降
下列哪项是脏腑精气衰竭的表现,E,体胖食少，神疲乏力,体瘦能食，舌红苔黄,体瘦颧红，皮肤枯干,体瘦食少，舌淡苔白,大骨枯槁，大肉陷下
下列各项中，与精神意识思维活动关系最为密切的是,A,心主血脉,肝主疏泄,脾主运化,肺主治节,肾主藏精
下列功能与肺主治节无关的是,E,调节呼吸运动,调节全身气机,调节血液运行,调节津液输布,调节脾胃升降
维持呼吸功能正常的重要环节是,D,心主神志,肺合皮毛,胃气下降,肾主闭藏,脾主转输
《内经》所谓“肾者，胃之关也”主要是指,A,肾气的蒸化作用,肾主纳气作用,肾气的固摄作用,肾主藏精作用,肾为脏腑阴阳之本
脾胃的相互关系最为重要的是,D,脾燥胃湿，燥湿相济,太阴湿土得阳始运，阳明燥土得阴自安,胃主纳谷，脾主磨谷,脾主升清，胃主降浊,脾为胃行其津液
《内经》所谓“并精而出入者”谓之,C,神,魂,魄,意,志
全身气机调畅最重要的环节是,C,肺主呼气，肾主纳气,心火下降，肾水上升,肝气主升，肺气主降,脾气主升，胃气主降,肺气宣发，亦主肃降
《灵枢·本神》所言“因志而存变”谓之,E,志,智,虑,意,思
“肺为水之上源”是指其能,D,宣发布散津液,其气肃降，有利于大肠主津,辅助心脏，转输气血津液,肃降水液，通调水道,宣发卫气，调节汗液排泄
肝的生理特性是,C,主疏泄，调畅气机,主藏血，调节血量,喜条达而恶抑郁,主血海而调冲任,主筋脉，开窍于目
“肾为气之根”主要指,B,肾为五脏阳气之根本,肾主纳气，以维持呼吸深沉,肾主膀胱的气化开合,肾主水液的蒸腾气化,指元气由肾精所化生
下列哪项与女子胞的生理功能最为密切,E,心、肝、脾、胃、冲脉、督脉,心、肺、肾、胃、阳明脉、带脉,心、肝、肾、胃、冲脉、任脉,心、肺、脾、肝、冲脉、任脉,心、肝、脾、肾、冲脉、任脉
下列情志相胜关系中，哪一项是错误的,A,惊胜怒,恐胜喜,怒胜思,喜胜忧,思胜恐
“利小便即所以实大便”的理论依据是,D,肾司二便，故利小便即可实大便,中气不足，溲便为之变，故二便相关,淡渗利水，则脾阳得健而大便实,二便之源均来自小肠的泌别清浊,利小便的药物本身具有止泻作用
在肾主闭藏的功能活动中，最具有生理意义的是,D,纳气归肾，促进元气之生成,固摄二便，防止二便之失禁,固摄水液，防止水液无故流失,固摄精气，防止精气无故散失,摄纳阳气，防止阳气浮越于上
肝之余气化为,C,涎液,唾 液,胆汁,泪液,
由肾之精气化生的是,B,涎液,唾 液,胆汁,泪液,
三焦的功能是,A,运行水液,通调水道,运化水湿,泌别清浊,
小肠的功能是,D,运行水液,通调水道,运化水湿,泌别清浊,
胆为,C,元神之脑,精明之府,中精之府,孤府,
脑为,A,元神之脑,精明之府,中精之府,孤府,
根据五神脏论，脾所藏的是,D,魄,魂,志,意,
根据五神脏论，肝所藏的是,B,魄,魂,志,意,
被称为“生之本”的是,C,脾,肾,心,肺,
被称为“胃之关”的是,B,脾,肾,心,肺,
三焦为,B,受盛之官,决渎之官,州都之官,相傅之官,
肺为,D,受盛之官,决渎之官,州都之官,相傅之官,
《医贯》的命门论点是,C,右肾为命门说,两肾俱称命门说,“七节之旁，中有小心”说,“命门者，目也”说,命门为“水火之宅”说
《景岳全书》的命门论点是,E,右肾为命门说,两肾俱称命门说,“七节之旁，中有小心”说,“命门者，目也”说,命门为“水火之宅”说
肾的气化功能失常，则,C,尿量增多,尿量减少,二者均有,二者均无,
肺的宣降功能失常，则,B,尿量增多,尿量减少,二者均有,二者均无,
肝的疏泄功能异常，可影响,C,心主神志,脾主运化,二者均有,二者均无,
胃主通降，促进,C,小肠化物，泌别清浊,大肠传导，排出糟粕,二者均是,二者均非,
肺气肃降，促进,B,小肠化物，泌别清浊,大肠传导，排出糟粕,二者均是,二者均非,
月经来潮与否，取决于,C,肾主闭藏,肝主疏泄,二者均有关,二者均无关,
"“天癸”的“至”与""竭"",取 决于",A,肾主闭藏,肝主疏泄,二者均有关,二者均无关,
月经来潮与否，在于,C,肾主闭藏,肝主疏泄,两者均有关,两者均无关,
津液运行于周身，在于,B,肾主闭藏,肝主疏泄,两者均有关,两者均无关,
“治痰先治气”的理论依据是,C,气能生津,气能载津,气能行津,气能摄津,
具有助心行血作用的是,A,宗气,营气,卫气,元气,
津液在体内流注输布的通道是,C,经络,腠理,三焦,脉道,
“分肉解利，皮肤调柔，腠理致密”的生理基础是,B,元气充,卫气和,宗气足,营气盛,
在津液代谢中起主要作用的是,A,肾之蒸腾气化,肺之通调水道,脾之运化水,小肠之分清泌浊,
治疗血虚证配伍补气药，其理论依据是,B,血能载气,气能生血,气能行血,气能摄血,
下列各项中，与血液运行和呼吸运动有关的是,A,宗气的盛衰,卫气的盛衰,肾气的盛衰,脾气的盛衰,
治疗血瘀证时，酌情配以益气或理气之品，其理论依据是,B,血能载气,气能行血,气能摄血,气能生血,
用补气法治疗出血的理论根据是,B,气能生血,气能摄血,气能行血,血能载气,
元气流行的通道是,C,命门,血脉,三焦,膻中,
精血互生互化的依据是,B,肺肾同源,肝肾同源,脾肾同源,心肾同源,
“夺血者无汗”所说明的生理关系是,C,气与血,气与津,血与津,精与津,
“亡血家不可发汗”的生理基础是,D,气能摄津,气能生津,血能载气,津血同源,
水谷精气与清气相结合，关系到,A,宗气的生成,卫气的生成,营气的生成,元气的生成,
津液与元气运行的主要通道是,A,三焦,腠理,血脉,水道,
下列选项中，与语言、声音、呼吸强弱关系最为密切的是,D,元气,卫气,中气,宗气,
下列与“气主煦之”无关的是,A,气郁久从阳而化热,体温的维持恒定,脏腑经络组织器官正常的活动,血和津液的循环运行,
“吐下之余，定无完气”的生理基础是,D,气能生津,气能行津,气能摄津,津能载气,
下列选项中，气不能固摄的物质是,E,血液,汗液,唾液,精液,水谷
治疗血虚病证，配用补气药物的生理基础是,A,气能生血,气能行血,气能摄血,血能载气,津血同源
在气的生成过程中，尤为重要的是,B,肺的呼吸功能,脾胃运化功能,肾的闭藏功能,肺肾协调功能,心的主血功能
《灵枢·本藏》所说“分肉解利，皮肤润柔，腠理致密”主要取决于,B,营卫和调,卫气和利,营气和利,宗气充盈,元气充盛
津液代谢与下列哪组脏腑最为密切,D,脾、肾、小肠、三焦,脾、肝、肾、三焦,肺、肾、三焦、小肠,肺、脾、肾、三焦,心、肾、小肠、膀胱
与语言、声音及心脏搏动等密切相关的是,B,元气,宗气,卫气,中气,营气
气能防止精、血、津液滑脱的作 用称,C,气化作用,防御作用,固摄作用,推动作用,营养作用
精、气、血、津液各自的新陈代 谢及相互转化的作用称,A,气化作用,防御作用,固摄作用,推动作用,营养作用
在奇经八脉中，与精冷不育证最 密切相关的是,B,任脉,督脉,冲脉,带脉,
分布于上肢内侧后缘的经脉为,A,手少阴心经,手厥阴心包经,手太阳小肠经,手太阴肺经,
分布于上肢内侧前缘的经脉为,A,手太阴肺经,手少阴心经,手厥阴心包经,手太阳小肠经,
络脉是经络的分支，其中最大的 是,D,孙络,浮络,经别,别 络,
根据《灵枢 · 经脉》足太阴经的 经气逆乱可导致,D,腹胀便秘,消谷善饥,头晕头痛,霍乱吐泄,
下列各组经脉中，均上连“目 系”的是,A,手少阴经和足厥阴经,手太阴经和足厥阴经,手太阴经和足太阳经,手少阴经和足太阳经,
分布于下肢外侧前缘的经脉是,A,足阳明胃经,足少阳胆经,足太阳膀胱经,足少阴肾经,
能加强表里两经在体内联系的是,B,经筋,经别,别 络,奇 经,
十二经别的循行特点是,A,离、入、出、合,起、结、聚、布,多交叉于十二经脉,多从肘膝以下分出,
《灵枢》所谓足阳明“气盛”的 表现是,C,足不收胫枯,胃中寒胀满,身以前皆热,身以前皆寒栗,
其循行多从肘膝以下分出的经络 是,A,别络,经别,奇 经,经筋,
"具有濡养眼目，""分主一身左右",C,冲 脉,督脉,阴、阳跷脉,阴、阳维脉,
足阳明经“气不足”病机的表,B,消谷善饥,身以前皆寒栗,溺色黄,狂 癫,
足阳明胃经与它经相交的部位是,A,在足大趾端交于足太阴脾经,在目内眦交于足太阳膀胱经,在食指端交于手阳明大肠经,在足小趾端交于足少阴肾经,
十二经脉的别络分出的部位是,D,头面部,胸背部,肘膝以上,肘膝以下,
交 接 于 目 内 眦 的 两 条 经 脉 是,A,手太阳与足太阳,手少阳与足少阳,手阳明与足阳明,手太阴与手阳明,
十二经脉气血贯注的形式是,A,循环贯注,手足贯注,左右贯注,上下贯注,
具有“主束骨而利机关”作用,B,十二经别,十二经筋,十五别络,十二皮部,
交接于足小趾端两条经脉是,D,足少阳经与足厥阴经,足太阴经与手少阴经,足阳明经与足太阴经,足太阳经与足少阴经,
经络气血逆乱，“厥气上逆”发,A,足太阴之别经气逆乱,足厥阴之别经气逆乱,足少阴之别经气逆乱,足太阳之别经气逆乱,
十二经脉气血有余则渗注于,C,经别,经筋,奇经,别络,孙络
经脉中可用离、入、出合来概括其循行特点的是,B,十五别络,十二经别,十二经筋,十二经脉,奇经八脉
《素问 · 气穴论》称其具有“溢 奇邪”、 “通营卫”作用的是,B,皮 部,孙络,浮络,别络,大络
加强足三阴、足三阳经脉与心脏 联系的是,A,经别,别络,阴维脉,阳维脉,阴跷脉
"临证所见“面黑齿长而垢，腹 胀闭，上下不通”,其病机是",E,太阳之脉终结,少阳之脉终结,阳明之脉终结,太阴之脉终结,少阴之脉终结
"《灵枢 · 经脉》所载“实则狂 癫，虚则足不收，胫枯”,此为 何经之别的病变",D,手少阴心经,任脉,足厥阴肝经,足阳明胃经,足太阴脾经
下列哪组经脉的循行均通过其经 别到达头部,B,手太阳与足少阴,手少阴与足太阴,手阳明与足阳明,手太阳与足太阳,手太阳与足阳明
少 阴 经 脉 气 血 衰 竭 可 出 现,D,戴眼反折瘾疯，其色白,耳聋百节皆纵，目寰绝系,口目动作，善惊妄言,面黑齿长而垢，腹胀闭,腹胀闭不得息，善噫善呕
十二经筋多结聚于,C,胸腹部,肌肤体表,关节和骨骼附近,四肢末端,头面及项部
《灵枢 · 经脉》说何经“气不足，则身以前皆寒栗”,D,手少阴心经,任脉,冲脉,足阳明胃经,足太阴脾经
《素问 · 诊要经终论》载，临床 见“戴眼，反折，瘾疯，其色,E,太阴之脉,少阴之脉,阳明之脉,少阳之脉,太阳之脉
经筋的生理功能是,D,主蓄积渗灌气血,主联络机体内外,主运行气血津液,主束骨而利关节,主经气的感应传导
何经“气盛则身以前皆热”,B,手少明心经,足阳明胃经,足太阴脾经,足厥阴肝经,冲脉
奇经八脉中与任脉在咽喉部相会 的经脉是,B,督脉,阴维脉,阳维脉,阴跷脉,阳跷脉
其循行既至目外眦，又至目内眦 的经脉是,C,手少阳三焦经,足少阳胆经,手太阳小肠经,手阳明大肠经,足太阳膀胱经
下述经脉的循行过程中，哪组经 脉经过气街,E,足少阴与足太阳,手少阳与足少阳,手阳明与足阳明,足厥阴与足太阳,足阳明与足少阳
