Question,A,B,C,D,E,answer,,,
下述哪项不属于四诊的内容：（    ）,望色,诊舌,切脉,诊病,嗅气味,D,,诊断学,单选
下述哪项不属燥淫证的证候表现,皮肤、口鼻干燥,舌体、舌苔干燥,大便干燥，尿黄,咽干，干咳少痰,外界气候干燥,E,,诊断学,单选
下述哪项除外均是表证的特点,感受外邪所致,起病一般较急,必发展成里证,病较轻、病程短,恶寒发热并见,C,,诊断学,单选
下述哪项湿热证一般不存在,中焦湿热证,心肺湿热证,肝经湿热证,膀胱湿热证,肠道湿热证,B,,诊断学,单选
下述哪项属典型的见微知著诊断原理,舌诊分候,问现在症,全身望诊,辨证论治,脉症合参,A,,诊断学,单选
下述哪项属于“体征”,头晕头重,恶心欲吐,神疲乏力,手指麻木,大便腥臭,E,,诊断学,单选
下述哪项属于危重舌象,绛舌,干荔舌,淡白舌,歪舌,紫暗舌,B,,诊断学,单选
下述哪项为个人史的内容,生活习惯,素体状况,患病情况,诊治经过,预防接种,A,,诊断学,单选
下述哪项最应归属于阳证,表实寒证,里虚寒证,肾阴虚证,表实热证,里实热证,D,,诊断学,单选
下述哪些不是泄泻的原因：（    ）,肾阳虚衰,肾阴亏损,肠胃积滞,大肠湿热,脾胃虚弱,D,,诊断学,单选
下述哪一项最应归属阴证,里虚寒证,里虚热证,表虚寒证,表虚热证,里实寒证,A,,诊断学,单选
下述哪种理解最正确,表证的病位在皮毛,皮肤的病变属表证,内脏的病不会出现表证,表证多见于外感病初期,表证的实际病位在内脏,D,,诊断学,单选
下述哪种湿证不存在：（      ）,外湿,内湿,虚湿,寒湿,湿热,C,,诊断学,单选
下肢痿软无力，不能站立，神疲嗜睡，食少，舌淡嫩，脉缓弱，是：（      ）,气虚证,气陷证,气不固证,气脱证,气逆证,A,,诊断学,单选
弦脉的主病，,气滞血瘀,血少精亏,二者均有,二者均无,,D,,诊断学,单选
弦脉的主病有,实热,食积,两者均有,两者均无,,D,,诊断学,单选
现病史不包括,起病情况,伴随症状,现在症状,既往状况,发病以来诊治经过,D,,诊断学,单选
现病史的时间界限是,医生认为最恰当的时间,没有明确的时间界限,当前所有症状出现的时间,既往史涉及病痛的时间,主诉所述症状所定的时间,E,,诊断学,单选
现存最早的脉学专著是,《脉诀》,《脉经》,《濒湖脉学》,《三指禅》,《诊家枢要》,B,,诊断学,单选
消谷善饥的临床意义是,脾胃虚弱,湿热蕴脾,肝胆湿热,胃阴不足,胃火炽盛,E,,诊断学,单选
消谷善饥是因：（    ）,脾胃虚弱,肝胆湿热,胃阴不足,胃火炽盛,虫积腹中,D,,诊断学,单选
消渴病口渴特点是：,口淡不渴,欲饮不咽,大渴引饮,渴喜热饮,渴不多饮,C,,诊断学,单选
消渴病人口渴饮水的特点是,口不渴饮,渴不多饮,大渴引饮,饮不欲咽,饮入即吐,C,,诊断学,单选
消渴病晚期病人的病室气味为：（    ）,血腥味,尿味,腐臭味,尸臭味,烂苹果味,E,,诊断学,单选
小便浑浊如米泔的症状容易见于下列何证,脾气亏虚证,脾阳亏虚证,脾不统血证,脾虚气陷证,寒湿困脾证,D,,诊断学,单选
小便频急，灼涩疼痛，属于：(    ),膀胱湿热证,大肠湿热证,肝胆湿热证,湿热蕴脾证,肠热腑实证,C,A,诊断学,单选
小便频数 量少色赤 涩痛不适属(    ),膀胱湿热,肾气不固,膀胱失约,下焦虚寒,脾虚气陷,A,,诊断学,单选
小便清长，夜尿多，咽干不欲饮，畏寒肢凉，舌淡，脉弱。此为,表实寒证,表实热证,里实寒证,里虚寒证,里虚热证,D,,诊断学,单选
小便臊臭，黄赤混浊者，多属,食积,寒湿,湿热,热毒,痰饮,C,,诊断学,单选
小儿耳背有红络，耳根发凉，多属：(    ),气血亏虚,肾精亏损,出麻疹先兆,肾气不足,肝胆湿热,C,,诊断学,单选
小儿发结如穗，发黄干枯，伴见面黄肌瘦者，多属,禀赋不足,血虚受风,疳积,精血不足,血热,C,,诊断学,单选
小儿发育迟缓，成人早衰，男子精少，女子经闭，辨证为,肾阳虚证,肾气不固证,肾虚水泛证,肾阴虚证,肾精不足证,E,,诊断学,单选
小儿发育迟缓见于何证：(    ),肾阳虚证,肾精不足证,肾阴虚证,肾气不足证,脾肾阳虚证,B,,诊断学,单选
小儿惊风的典型面色是,面色淡青或青紫,面色与口唇青紫,眉间、鼻柱、唇周发青,面色青黄,面白而泛红如妆,C,,诊断学,单选
小儿生长发育迟缓、成人早衰多见于,肾阳亏虚证,肾虚水泛证,肾气不固证,肾阴亏虚证,肾精不足证,E,,诊断学,单选
小儿食指络脉色红的，多属：(    ),热证,外感表证,虚证,惊风,正常表现,A,,诊断学,单选
小儿食指络脉诊法，始见于：(    ),《内经》,《脉经》,《脉诀》,《水镜图诀》,钱乙《小儿药证直诀》,A,,诊断学,单选
小儿睡眠露睛，多由于,脾胃虚衰,津液不足,肝风内动,肝经风热,肾精耗竭,A,,诊断学,单选
小儿夏季长期发热， 烦渴多饮无汗， 秋凉自愈， 多为,气虚发热,阴虚发热,血虚发热,气郁发热,气阴两虚,E,,诊断学,单选
小儿囟门凹陷，多属,温病火邪上攻，脑髓有病,吐泻伤津，营血不充,肾气不足，发育不良,肾阴不足，虚火上炎,以上都不是,B,,诊断学,单选
小儿囟门凹陷的病因是,先天不足，肾精亏损,火邪上攻，或脑髓有病,吐泻伤津，或气血不足,肾气不足，发育不良,肝阳上亢，或风痰内扰,C,,诊断学,单选
小儿囟门迟闭，多属,温病火邪上攻，脑髓有病,吐泻伤津，营血不充,肾气不足，发育不良,肾阴不足，虚火上炎,以上都不是,C,,诊断学,单选
小儿囟门突起，多属：(    ),温病火邪上攻，脑脊水有病,吐泻伤津，或气血不足,肾气不足，发育不良,肾阴不足，虚火上炎,以上都不是,A,,诊断学,单选
小儿囟门突起的病因是,先天不足，肾精亏损,火邪上攻，或脑髓有病,吐泻伤津，或气血不足,肾气不足，发育不良,肝阳上亢，或风痰内扰,B,,诊断学,单选
小儿指纹色深暗者，多属,表证,里证,虚证,实证,疳积,D,,诊断学,单选
小儿指纹色鲜红者，多属,外感风寒表证,里实热证,痛症，惊风,血络郁闭,脾虚，疳积,A,,诊断学,单选
小儿指纹透关射甲，多属,气血旺盛，正常表现,邪气入络，邪浅病轻,邪气入 经，邪深病重,邪入脏腑，病情严重,病情凶险，预后不良,E,,诊断学,单选
小儿指纹显于命关，多属,气血旺盛，正常表现,邪气入络，邪浅病轻,邪气入 经，邪深病重,邪入脏腑，病情严重,病情凶险，预后不良,D,,诊断学,单选
哮与喘的鉴别要点为,是否呼吸急迫,是否睡能平卧,是否张口抬肩,是否喉间痰鸣,,D,,诊断学,单选
哮与喘的鉴别要点为：（    ）,是否呼吸急迫,是否睡能平卧,是否张口抬肩,是否喉间痰鸣,,D,,诊断学,单选
邪热亢盛可见：（    ）,舌红苔黄燥,舌红降少苔,舌红胖苔黄腻,舌红苔白,舌淡苔白,A,,诊断学,单选
邪在半表半里的特征性症状是,胸胁苦满,口苦咽干,寒热往来,脉弦,目眩,C,,诊断学,单选
胁肋部饱满、疼痛，叩之音实者，多为,肺胀,饮停胸胁,真心痛,心气虚,胸部外伤,B,,诊断学,单选
胁肋胀痛，口苦厌油，寒热往来，身目发黄，应诊断为,脾胃湿热证,肝火炽盛证,胆郁痰扰证,肝胆湿热证,肝气郁结证,D,,诊断学,单选
心烦不寐患者，脉象多见,滑,促,弦,涩,数,E,,诊断学,单选
心烦失眠，腰膝酸软，属,肝郁化火证,食滞胃脘证,心脾两虚证,心肾不交证,心肺气虚证,D,,诊断学,单选
心烦心悸，失眠多梦，舌红少苔，脉细数者。此属,心血虚证,心气虚证,心阳虚证,心阴虚证,心阳虚脱证,D,,诊断学,单选
心肝血虚证的临床表现是,心烦少寐，腰膝酸软，五心烦热，头晕耳鸣,心悸怔忡，胸闷气短，咳嗽气喘，吐痰清稀,心悸怔忡，形寒肢冷，肢体浮肿，唇甲青紫,心悸怔忡，腹胀便溏，皮下出血，神疲乏力,心悸怔忡，失眠健忘，两目干涩，肢体麻木,E,,诊断学,单选
心火上炎证最主要的临床特征是：(    ),发热口渴,心悸失眠,神昏谵语,口舌生疮,尿道灼痛,E,,诊断学,单选
心火上炎最主要的临床特征是,口舌生疮,心烦失眠,发热口渴,尿道灼痛,神昏谵语,A,,诊断学,单选
心悸，失眠，盗汗，颧红，五心烦热，脉细数，舌红少苔。此为,表实寒证,表实热证,里实寒证,里虚寒证,里虚热证,E,,诊断学,单选
心悸、气短与下列哪项同见对诊断心阳虚证最有意义?,神疲乏力,面色淡白而消瘦,形寒肢冷,头晕目眩,,C,,诊断学,单选
心悸不常见于下列哪个证：(    ),心肾阳虚证,肾气不固证,心脉痹阻证,心肾不交证,心肝血虚证,A,,诊断学,单选
心悸失眠，头晕气短，面白唇淡，多属,水气凌心,心阳亏虚,气血两虚,心气亏虚,胆郁痰扰,C,,诊断学,单选
心悸头晕，失眠多梦，面色淡白，唇舌色淡者。此属,心血虚证,心气虚证,心阳虚证,心阴虚证,心阳虚脱证,A,,诊断学,单选
心悸与下列哪项同见，可诊断为心阴虚证：(    ),失眠,面白,健忘,头晕,舌红少苔,E,,诊断学,单选
心悸怔忡， 胸闷气短， 精神疲乏， 舌淡脉虚者。此属,心血虚证,心气虚证,心阳虚证,心阴虚证,心阳虚脱证,B,,诊断学,单选
心悸怔忡，心胸闷痛，身重困倦，苔白腻，脉沉滑或沉涩。证属：(    ),气滞心脉证,寒凝心脉证,心阳虚脱证,瘀阻心脉证,痰阻心脉证,A,,诊断学,单选
心悸怔忡，形寒肢冷，气短心痛，苔白滑，脉弱者。此属,心血虚证,心气虚证,心阳虚证,心阴虚证,心阳虚脱证,C,,诊断学,单选
心脉痹阻证，体胖而以闷痛为特点者，属于,痰阻心脉,热扰心脉,瘀阻心脉,气滞心脉,寒凝心脉,A,,诊断学,单选
心脉痹阻证以胸部胀痛为特点者，属于：(    ),气滞心脉,热郁心脉,瘀阻心脉,寒凝心脉,痰阻心脉,A,,诊断学,单选
心脾两虚证除脾气虚外，还有,心气虚,血汗虚,心阴虚,心阳虚,,B,,诊断学,单选
心脾两虚证的临床表现是,心烦少寐，腰膝酸软，五心烦热，头晕耳鸣,心悸怔忡，胸闷气短，咳嗽气喘，吐痰清稀,心悸怔忡，形寒肢冷，肢体浮肿，唇甲青紫,心悸怔忡，腹胀便溏，皮下出血，神疲乏力,心悸怔忡，失眠健忘，两目干涩，肢体麻木,D,,诊断学,单选
心脾气血两虚证最常见的症状是,心悸怔忡，神疲乏力,食少腹胀，面色萎黄,失眠多梦，舌质淡白,心悸多梦，便溏舌淡,心烦不寐，舌红少苔,D,,诊断学,单选
心脾有热可见,苍老舌,痿软舌,胖大舌,吐弄舌,齿痕舌,D,,诊断学,单选
心气大伤导致,夺气,郑声,独语,错语,狂言,B,,诊断学,单选
心气虚证与心阳虚证的共见症状是,形寒肢冷,面白神疲,心悸气短,脉细无力,舌质淡白,C,,诊断学,单选
心气虚证最不容易见到的症状是,唇舌淡白,失眠多梦,眩晕健忘,舌红脉数,心悸怔忡,D,,诊断学,单选
心气虚证最有特征的临床表现是：(    ),胸闷气短，心悸怔忡,心胸憋闷，脉结代,冷汗肢厥，神志模糊,心胸作痛，畏寒肢冷,胸痛如刺，舌暗瘀斑,D,,诊断学,单选
心肾不交证最典型的表现是,眩晕耳鸣，腰膝酸软,心悸怔忡，肢肿尿少,心烦失眠，腰酸盗汗,心悸失眠，头晕目眩,嗜睡神疲，心悸肢肿,C,,诊断学,单选
心肾阳虚证的临床表现是,心烦少寐，腰膝酸软，五心烦热，头晕耳鸣,心悸怔忡，胸闷气短，咳嗽气喘，吐痰清稀,心悸怔忡，形寒肢冷，肢体浮肿，唇甲青紫,心悸怔忡，腹胀便溏，皮下出血，神疲乏力,心悸怔忡，失眠健忘，两目干涩，肢体麻木,C,,诊断学,单选
心肾阳虚证最典型的表现是,心悸怔忡，肢肿形寒,心中动悸，面白神疲,腰膝冷痛，畏寒肢冷,心胸憋痛，舌质暗淡,心悸失眠，腰酸盗汗,A,,诊断学,单选
心血虚证的临床表现中最易见到的症状是,颧红盗汗,畏寒肢冷,心胸憋痛,唇舌淡白,脉象细数,D,,诊断学,单选
心血瘀阻，心阳暴脱多见,眉间、鼻根、唇周青紫,面色苍黄,面色白虚浮,面色青灰，肢冷脉微,面色萎黄,D,,诊断学,单选
心阳不振、心脉闭阻病人多见,面色淡青或青黑,面色萎黄，面睑虚浮,面青灰唇青紫，肢厥脉微,面色青黄,眉间、鼻柱、唇周发青,C,,诊断学,单选
心阳虚证的主症是,胸胁胀满，咳唾引痛,心悸怔忡，畏寒肢冷,胸痛咳,胸闷胸痛，心悸怔忡,咳吐痰涎，喉中哮鸣,B,,诊断学,单选
心阴虚证的临床表现中最不容易见到的症状是,失眠多梦,心悸心烦,面白舌淡,五心烦热,脉象细数,C,,诊断学,单选
新起恶寒，发热口渴，无汗，咳嗽气喘，舌红苔黄白相兼，脉浮数。此为,表里实热证,表实寒里虚寒证,表寒里热证,表热里寒证,表实寒里虚热证,C,,诊断学,单选
新起腹泻，大便清稀水样，多属,寒湿,湿热,脾虚,痢疾,霍乱,A,,诊断学,单选
形成肝风内动的原因，应除外哪一项：(    ),寒滞肝脉,邪热亢盛,肝阴亏虚,肝阳亢逆,肝血不足,C,,诊断学,单选
形成寒证的原因不包括下列哪项：（         ）,阳气亏虚,阴液不足,阴寒内盛,阴邪致病,阴气偏盛,B,,诊断学,单选
胸背彻痛剧烈，发病急骤，面色青灰，多因,肺热炽盛,痰热壅肺,饮停胸胁,痰瘀阻滞肺络,心脉急骤闭塞,E,,诊断学,单选
胸痹的疼痛特征是,胸痛剧烈，持续不解,胸痛，咳吐脓血腥臭痰,胸痛咳喘，痰白易咯,干咳胸痛，潮热盗汗,心胸憋闷疼痛，时作时止,E,,诊断学,单选
胸痹心痛患者，脉象多见,滑,促,弦,涩,数,C,,诊断学,单选
胸部压痛，局限性青紫肿胀而拒按者，为,肺胀,饮停胸胁,真心痛,心气虚,胸部外伤,E,,诊断学,单选
胸腹部按诊时，病人最宜采取的体位是,俯卧位,侧卧位,仰卧位,截石位,正坐位,C,,诊断学,单选
胸闷壮热鼻翼煽动者多属：（    ）,心阳不足,痰饮停肺,痰热壅肺,寒邪客肺,肺肾气虚,C,,诊断学,单选
胸胁胀满，咳嗽牵引疼痛，气短，苔白滑，脉弦，应诊断为,燥邪犯肺证,痰热壅肺证,寒痰阻肺证,饮停胸胁证,风寒犯肺证,D,,诊断学,单选
胸胁胀闷，走窜疼痛，多属：（      ）,气滞血瘀证,肝气上逆证,血瘀证,气滞证,以上都不是,D,,诊断学,单选
胸胁胀痛，部位不定，嗳气、矢气、太息减轻，舌象无异，脉,痰证,水停证,食积证,饮证,气滞证,E,,诊断学,单选
胸胁灼痛，急躁易怒，头胀头晕，痰黄黏稠，甚则咳血，烦热口苦，面红目赤，脉弦数，证属,痰热蕴肺证,风寒表实证,肝火犯肺证,肺燥津伤证,风热犯肺证,C,,诊断学,单选
虚里按之搏动迟弱为,宗气内虚,宗气外泄,心肺气绝,中气不守,心阳不足,E,,诊断学,单选
虚里搏动散漫而数为,宗气内虚,宗气外泄,心肺气绝,中气不守,心阳不足,C,,诊断学,单选
虚里搏动数急而时有一止者为,心气亏虚,心阳不足,痘疹将发,心肺气绝,宗气不守,E,,诊断学,单选
虚里动高，聚而不散者，可因,鼓胀,肺痨,热甚,惊恐,悬饮,C,,诊断学,单选
虚里动高，片刻即能平复如常，可因,鼓胀,肺痨,热甚,惊恐,悬饮,D,,诊断学,单选
虚脉的形象是：（    ）,三部脉举之无力，按之空虚,沉细而软，应指无力,极细极软，似有似无,脉体如线，软弱无力,浮而细软，应指无力,A,,诊断学,单选
虚实夹杂证可包括,大实有羸状,实中夹虚,至虚有盛候,因虚致实,因实致虚,B,,诊断学,单选
虚阳浮越证的病人其面色多呈,两颧潮红,泛红如妆,满面通红,红黄隐隐,面色萎黄,B,,诊断学,单选
虚证失神的表现是,神志清楚，面色红润，目光明亮，精彩内含,重病本已失神，突然神识清醒，颧赤如妆,壮热烦躁，神昏谵语，四肢抽搐,精神不振，面色少华，倦怠乏力,精神萎靡，面色无华，形体羸瘦,E,,诊断学,单选
血行不畅可见,淡白舌,红舌,绛舌,紫舌,裂纹舌,D,,诊断学,单选
血行瘀滞病人的唇色是,淡白,樱红,深红,青紫,青黑,D,,诊断学,单选
"血虚生风,阴虚动风,肝阳化风,热极生风,均能见到的症状是：",形体消瘦,四肢麻木,筋脉拘急,腰膝酸软,眩晕耳鸣,C,,诊断学,单选
血瘀日久病人多见,面色黧黑晦暗,面色黑而干焦,眼眶周围发黑,面色紫暗黧黑，肌肤甲错,面色淡青或青黑,D,,诊断学,单选
血瘀证的临床表现是,刺痛,胀痛,冷痛,灼痛,掣痛,A,,诊断学,单选
血瘀证的色脉改变，下述哪项不是,皮肤现青紫色斑块,腹壁有青筋显露,出血紫暗、夹块,舌淡胖，苔腻或滑,脉象细涩、弦涩,D,,诊断学,单选
血瘀证特有的症状是：,"面色黧黑,肌肤甲错","面色苍白,四肢不温","唇甲色暗,胸胁胀痛","面色青黑,少腹冷痛","面色淡白,身倦乏力",A,,诊断学,单选
血瘀致痛多为,灼痛,窜痛,空痛,重痛,刺痛,E,,诊断学,单选
询问家族史最主要的意义是,分析病因,辨别病性,指导治疗,排除遗传病,推断病情,D,,诊断学,单选
牙齿燥如枯骨者，多属,胃阴已伤,阳明热甚，津液大伤,肾阴枯竭，精不上 荣,肾虚，虚火上炎,热极动风,C,,诊断学,单选
牙龈红肿而痛，多属：(    ),阴虚火旺,肝火上炎,肺经有热,脾经火热,胃火上攻,E,,诊断学,单选
牙龈肿痛见于,心火炽盛,肝火炽盛,肺热炽盛,胃热炽盛,,D,,诊断学,单选
言语轻迟低微，欲言不能复言者属：（    ）,郑声,独语,夺气,错语,,C,,诊断学,单选
咽红肿胀而痛，甚则溃烂有黄白脓点，此为(    ),阴虚火旺,痰湿凝聚,气阴两亏,肺胃热毒,胃火亢盛,D,,诊断学,单选
阳黄的病机为：(    ),寒湿郁阻,湿热熏蒸,脏腑实热,阴虚火旺,以上都不是,B,,诊断学,单选
阳明腑实证的发热特点是,身热不扬,日晡潮热,五心烦热,身热汗出,往来寒热,B,,诊断学,单选
阳明腑实证的临床表现是：（    ）,神昏谵语，高热，腹满便秘,心烦不寐，时有谵语，舌绛,神昏谵语，舌謇肢厥，脉滑,神昏，间有谵语，苔黄厚腻,心烦躁扰，吐血，舌质深绛,C,,诊断学,单选
阳明经证临床表现不具备下列哪项,脉洪大,身热汗出,口渴引饮,大便泄泻,面赤气粗,D,,诊断学,单选
阳气暴脱病人的面色特征是,面色无华,面色淡白,面色苍白,面色青紫,面色青黑,C,,诊断学,单选
阳气暴脱的病人多见,面色淡白,面色㿠白,面色晦暗,面色苍白,面色青黑,D,,诊断学,单选
阳气亏虚多见,战汗,半身汗,绝汗,盗汗,自汗,E,,诊断学,单选
阳热有余，蒸腾胃中秽浊之邪上泛，可见,腐苔,腻苔,润苔,有根苔,无根苔,A,,诊断学,单选
阳水的特点，不包括哪项：（      ）,起病急，病程短,皮肤光亮而薄,为头面部先肿,多挟风邪为患,按之凹陷难复,E,,诊断学,单选
阳虚发展到亡阳时，最主要的标志是,四肢冷至肘膝,由脉弱变脉微,面色由白变青紫,出现冷汗淋漓,呼吸短促微弱,D,,诊断学,单选
阳虚寒湿内盛，可见,舌红绛苔黄燥,舌红绛苔黄腻,舌淡苔灰黑润,舌红绛少苔,舌红绛苔黄白相兼,C,,诊断学,单选
阳虚水泛病人多见,面色 白浮肿,面色萎黄虚浮,面色青黄,身黄色鲜明,身黄色晦暗,A,,诊断学,单选
阳虚水湿不化的舌象多为：(    ),舌质淡胖，苔黄滑而润,舌质绛，苔白腻,舌质红，苔黄腻,舌质绛，苔黄腻,舌淡红苔润多津,A,,诊断学,单选
阳虚水停的舌象特征是,舌淡胖，苔白滑,舌淡胖嫩，苔黄滑,舌边有斑点,舌质淡红，舌苔白腻,舌质红绛无苔,A,,诊断学,单选
阳虚证与气虚证最主要的区别是,有无少气懒言,有无神疲乏力,寒象是否明显,小便是否清长,舌质是否淡嫩,C,,诊断学,单选
腰膝酸冷，周身浮肿，按之没指，疲乏，辨证为,肾阳虚证,肾气不固证,肾虚水泛证,肾阴虚证,肾精不足证,C,,诊断学,单选
腰膝酸软，眩晕耳鸣，遗精早泄，舌红少苔，脉细数，应诊断为,肾阳亏虚证,肾气不固证,肾精不足证,肾阴亏虚证,肾虚水泛证,D,,诊断学,单选
腰膝酸软而痛，眩晕耳鸣，五心烦热，辨证为,肾阳虚证,肾气不固证,肾虚水泛证,肾阴虚证,肾精不足证,D,,诊断学,单选
夜间露宿后，形成表热证，下述哪种认识不对,原始病因为寒,当前病因为寒,当前病因为热,证的性质为热,寒邪转化为热,B,,诊断学,单选
一息五至以上的脉象，以下除哪一项以外均是,动脉,促脉,数脉,结脉,疾脉,D,,诊断学,单选
遗精，头晕目眩，形体干瘦，舌红少苔，脉细数，应诊断为,心肾不交证,肾气不固证,心脾两虚证,肾阴亏虚证,肾精不足证,D,,诊断学,单选
以“十问”概括问诊的医学家是,张仲景,李时珍,张景岳,喻嘉言,赵晴初,C,,诊断学,单选
以“十问”来总结概括问诊的医学家是：（    ）,张仲景,李时珍,喻嘉言,叶天士,张景岳,E,,诊断学,单选
以憋闷为特点的心脉痹阻证的诱发原因是,痰阻心脉,气滞心脉,寒凝心脉,热郁心脉,瘀阻心脉,A,,诊断学,单选
以浮、中、沉分候脏腑的办法，一般左手中取候,心,肺,脾,肝,肾,D,,诊断学,单选
以上属于病名的是,顿咳,干咳,肺阴虚证,恶寒发热,杵状指,A,,诊断学,单选
以上属于体征的是,顿咳,干咳,肺阴虚证,恶寒发热,杵状指,E,,诊断学,单选
以下不属于辨证诊断要求的是,内容要准确全面,证名要精炼规范,证名变则病名变,不受证型的拘泥,证候变则证名变,C,,诊断学,单选
以下除哪项外，脉率均在一息五至以上,动脉,促脉,滑脉,疾脉,数脉,C,,诊断学,单选
以下何脉不主宿食,紧脉,促脉,滑脉,结脉,涩脉,D,,诊断学,单选
以下哪项不是导致便秘的常见原因：（    ）,胃火,肝胃不和,阴血不足,寒凝胃肠,津液亏虚,B,,诊断学,单选
以下哪项不是呃逆的常见原因,寒邪客胃,热邪犯胃,脾失健运,胃气衰败,饮食刺激,C,,诊断学,单选
以下哪项不是面色发黑所属病证：(    ),水饮,痰湿,肾虚,寒证,血瘀,B,,诊断学,单选
以下哪项不是面色发青所属病证：(    ),痛证,寒证,惊风,血瘀,痰饮,E,,诊断学,单选
以下哪项不是痰与饮的区别点：（      ）,痰质地较稠，饮质地较稀,痰流动性大，饮流动性小,痰致病广泛，饮致病局限,痰性有寒热，饮性多偏寒,饮可凝为痰，痰难化为饮,B,,诊断学,单选
以下哪项是诊断阳虚证的必见症,神疲乏力,大便溏泻,畏寒肢冷,尿少浮肿,口淡不渴,C,,诊断学,单选
以下哪项最应考虑肝癌的诊断,左胁下痞块而硬,右胁下肿块凹凸不平,胁下肿块刺痛拒按,胁下肿块软而不坚,胁痛喜按，按之空虚,B,,诊断学,单选
以下哪一项不属于病理舌态：(    ),肿胀,痿软,短缩,歪斜,强硬,A,,诊断学,单选
以下哪一项为有神的表现:,目光暗淡,精神萎靡,神志恍惚,表情活泼,面色晦暗,D,,诊断学,单选
以下哪种舌象可见于正常的人：(    ),舌有芒刺,舌体胖大娇嫩,舌面光滑无苔,舌有裂纹,舌边齿痕，苔垢,D,,诊断学,单选
以下哪种舌象可见于正常人,舌苔薄白,舌光滑无苔,舌有芒刺,舌胖娇嫩,舌边有齿痕,A,,诊断学,单选
以胀闷疼痛为辨证要点的症候为：（      ）,气虚,气陷,气滞,气逆,气脱,C,,诊断学,单选
因大失血而致气脱，称为,血虚气脱,气随血脱,阳气虚脱,气不摄血,亡阳,B,,诊断学,单选
阴黄病人多见,面色 白浮肿,面色萎黄虚浮,面色青黄,身黄色鲜明,身黄色晦暗,E,,诊断学,单选
阴黄的面色特点是,面色萎黄无华,面色虚浮微黄,面色青黄相兼,面目黄色鲜明,面目黄色晦暗,E,,诊断学,单选
阴盛格阳证一般不见,面赤,口渴,溲赤,脉大,咽痛,C,,诊断学,单选
阴虚动风证的临床表现是,持续低热，手足蠕动，舌绛少苔,突然昏仆，半身不遂，口眼歪斜,筋脉拘急，肌肉掣动，肢体麻木,两目上视，角弓反张，高热神昏,突然昏倒，不省人事，口吐涎沫,A,,诊断学,单选
阴虚火旺的舌象可见：（   ）,舌红苔黄燥,舌红少苔,舌红苔黄腻,舌红苔白,舌淡红无苔,B,,诊断学,单选
阴虚火旺多见,战汗,半身汗,绝汗,盗汗,自汗,D,,诊断学,单选
阴虚火旺可见,淡白舌,红舌,绛舌,紫舌,裂纹舌,C,,诊断学,单选
阴虚内热，虚火灼精病人多见,面黑暗淡,面色黑而干焦,眼眶周围发黑,面色黧黑，肌肤甲错,面色青黑,B,,诊断学,单选
阴虚证病人多见,满面通红,两颧潮红,泛红如妆,面青颊赤,乍赤乍白,B,,诊断学,单选
阴虚证可见：（    ）,口渴喜饮,渴喜热饮,渴不欲饮,渴不多饮,但欲漱水不欲咽,D,,诊断学,单选
引起大便时溏时结的原因是,肝脾不调,脾肾阳虚,脾虚气陷,脾胃虚寒,大肠湿热,A,,诊断学,单选
引起排便不爽的原因是,肝脾不调,脾肾阳虚,脾虚气陷,脾胃虚寒,大肠湿热,E,,诊断学,单选
引起血虚的原因，错误的是：（      ）,气机不调，升降失常,瘀因内阻，新血不生,劳神太过，暗耗阴血,脾失健运，生血乏源,大病久病，耗伤气血,A,,诊断学,单选
饮食积滞可见,干呕无物,呕吐酸腐,呕吐清水,喷射呕吐,朝食暮吐,B,,诊断学,单选
饮停胸胁证的主症是,胸胁胀满，咳唾引痛,心悸怔忡，畏寒肢冷,胸痛咳,胸闷胸痛，心悸怔忡,咳吐痰涎，喉中哮鸣,A,,诊断学,单选
饮停胸胁症见胸胁饱满咳嗽时牵引作痛。此属,痰饮,支饮,悬饮,溢饮,,C,,诊断学,单选
饮证的咯痰特点是：（      ）,痰色黄白,痰清稀如水,痰中带血,痰白滑易咯出,痰中有灰黑点,B,,诊断学,单选
饮证的主要原因是：（      ）,脏腑机能减退,情志所伤,饮食不节,过逸少动,感受湿邪,A,,诊断学,单选
营分证的主要病机是,温热袭表，肺卫失宣,邪热壅肺，肺气郁闭,温邪入,热灼营阴，心神被扰,温邪入血，动血动风,D,,诊断学,单选
营分证与阳明腑实证均可见到神昏谵语，其鉴别要点是：（    ）,有无手足抽搐,起病的缓与急,发热的高与低,有无便秘腹痛,病性之虚与实,D,,诊断学,单选
用不轻不重指力持脉，按到肌肉者叫作,浮取,总按,沉取,单按,中取,E,,诊断学,单选
用手指稍用力寻抚局部，力达肌层者，称,按法,摸法,触法,压法,叩法,B,,诊断学,单选
由脾虚不运致痰湿停积的证侯属：,因虚致实,虚中挟实,实中挟虚,由实致虚,虚实并重,A,,诊断学,单选
由气虚而导致的病理变化，下述哪项少见,气虚可致营亏、血虚,气虚发展可形成阳虚,气虚可致亡阳、亡阴,气化减退而形成痰湿,气虚可致气滞、血瘀,C,,诊断学,单选
由于惊恐、疼痛等导致阴阳不和，气血运行乖违，可见,促脉,结脉,滑脉,数脉,动脉,E,,诊断学,单选
由于气候的影响，平脉在秋季应,稍浮,稍沉,稍洪,稍弦,稍缓,A,,诊断学,单选
有机磷农药中毒病人的病室气味为,蒜臭味,尿臊味,腐臭味,烂苹果味,血腥味,A,,诊断学,单选
